index,type,date,country,state,location,activity,severity,time
5938,UNPROVOKED,1916-01-07,USA,New Jersey,"Matawan Creek, 10 miles from the sea, Monmouth County",SWIMMING,FATALITY,MORNING
5939,UNPROVOKED,1916-01-07,BAHAMAS,,50 miles off Bahamas,BOATING,FATALITY,
5940,UNPROVOKED,1916-01-07,SPAIN,Gran Canaria,Las Palmas,DIVING,INJURY,
5941,UNPROVOKED,1916-01-07,PHILIPPINES,Luzon Island,"Olongapo Harbor, Subic Bay",SWIMMING,,
5942,UNPROVOKED,1916-01-07,USA,New Jersey,"Spring Lake, Monmouth County",SWIMMING,FATALITY,NOON
5943,UNPROVOKED,1916-01-07,USA,New Jersey,"Beach Haven, Ocean County",SWIMMING,FATALITY,AFTERNOON
5944,UNPROVOKED,1916-01-06,USA,New Jersey,"Atlantic City, Atlantic County",SWIMMING,INJURY,
5945,UNPROVOKED,1916-01-06,ATLANTIC OCEAN,,,SWIMMING,FATALITY,
5946,PROVOKED,1916-01-06,USA,Florida,,,INJURY,
5947,UNPROVOKED,1916-01-04,AUSTRALIA,New South Wales,Manley Beach,SWIMMING,FATALITY,
5948,UNPROVOKED,1916-01-04,AUSTRALIA,Victoria,Carrum,BOATING,FATALITY,
5949,UNPROVOKED,1916-01-03,AUSTRALIA,New South Wales,Curl Curl,SWIMMING,INJURY,AFTERNOON
5950,UNPROVOKED,1915-01-12,AUSTRALIA,Torres Strait,Thursday Island,DIVING,INJURY,
5951,UNPROVOKED,1915-01-11,AUSTRALIA,Queensland,"Cabbage Tree Creek, Sandgate",SWIMMING,INJURY,
5952,UNPROVOKED,1914-01-11,AUSTRALIA,New South Wales,Manly,SWIMMING,INJURY,
5953,UNPROVOKED,1915-01-08,USA,Florida,"St. Augustine, St Johns County",,INJURY,
5954,UNPROVOKED,1915-01-07,MEXICO,Tamaulipas,Tampico,FISHING,FATALITY,
5955,UNPROVOKED,1915-01-07,MEXICO,,Santa Maria Bar,SWIMMING,FATALITY,
5956,,1915-01-05,EGYPT,,Alexandria,SWIMMING,,
5957,UNPROVOKED,1915-01-03,AUSTRALIA,Torres Strait,Near Thursday Island,DIVING,INJURY,
5958,UNPROVOKED,1915-01-02,AUSTRALIA,Queensland,Wynnum-Manley,SWIMMING,INJURY,
5959,,1915-01-01,NEW ZEALAND,North Island,Otaki,FISHING,,
5960,UNPROVOKED,1915-01-01,AUSTRALIA,New South Wales,"Sirius Cove, Sydney Harbor",SWIMMING,FATALITY,
5961,,1915-01-01,USA,Florida,"Soldier Key, Miami-Dade County",,FATALITY,
5962,UNPROVOKED,1914-01-12,AUSTRALIA,Queensland,Magnetic Island,SWIMMING,INJURY,
5963,UNPROVOKED,1914-01-10,SAMOA,Apolima Strait,Opposite Apelima &  Manona,SURFING,INJURY,
5964,UNPROVOKED,1914-01-09,JAMAICA,Kingston Parish,Port Royal,SWIMMING,FATALITY,
5965,UNPROVOKED,1914-01-09,USA,Louisiana,Lake Pontchartrain,SWIMMING,FATALITY,
5966,UNPROVOKED,1914-01-07,CROATIA,Zadar County,Biograd na moru,,,
5967,PROVOKED,1914-01-07,USA,Louisiana,New Orleans,FISHING,,
5968,UNPROVOKED,1914-01-07,CROATIA,Primorje-Gorski Kotar County,Rijeka,,,
5969,WATERCRAFT,1914-01-06,MONTENEGRO,Adriatic Sea,Between St. Stjepan and Budva,BOATING,INJURY,MORNING
5970,UNPROVOKED,1914-01-06,AUSTRALIA,Victoria,Sandringham,SWIMMING,FATALITY,NOON
5971,UNPROVOKED,1914-01-05,NEW CALEDONIA,South Province,Noumea,SWIMMING,FATALITY,
5972,PROVOKED,1914-01-05,USA,Florida,"Boca Ciega Bay, Pinellas County",FISHING,INJURY,NOON
5973,,1914-01-03,USA,Florida,"St. Augustine, St Johns County",SWIMMING,,
5974,UNPROVOKED,1914-01-03,GUYANA,Essequibo,Essequibo River Mouth,BOATING,FATALITY,
5975,UNPROVOKED,1914-01-03,USA,Hawaii,"Honomu, Hawai'i",,FATALITY,
5976,UNPROVOKED,1914-01-02,AUSTRALIA,South Australia,Marion Bay,SWIMMING,INJURY,
5977,UNPROVOKED,1914-01-02,AUSTRALIA,New South Wales,Paramatta River,BOATING,INJURY,
5978,UNPROVOKED,1914-01-01,AUSTRALIA,Queensland,Brisbane,SWIMMING,INJURY,
5979,UNPROVOKED,1914-01-01,SOUTH AFRICA,KwaZulu-Natal,Durban,,,
5980,PROVOKED,1913-01-12,USA,Florida,"Palm Beach, Palm Beach County",FISHING,,
5981,UNPROVOKED,1913-01-12,CUBA,,off Neuvitas,,FATALITY,
5982,UNPROVOKED,1913-01-11,NIGERIA,Lagos,Lagos,BOATING,FATALITY,
5983,UNPROVOKED,1913-01-11,AUSTRALIA,Queensland,"Sandgate Jetty, Brisbane",SWIMMING,INJURY,
5984,UNPROVOKED,1913-01-09,USA,Florida,"West Palm Beach, Palm Beach County",,INJURY,
5985,PROVOKED,1913-01-09,CROATIA,Istria County,Pula,,INJURY,
5986,,1913-01-08,USA,New Jersey,"Lavalette, Ocean County",,,
5987,,1913-01-08,USA,New Jersey,"Spring Lake, Monmouth County",,,
5988,,1913-01-08,ITALY,Trieste,,,,
5989,UNPROVOKED,1913-01-07,USA,South Carolina,Charleston,,FATALITY,
5990,UNPROVOKED,1913-01-07,COSTA RICA,,Port Limon,SWIMMING,FATALITY,
5991,PROVOKED,1913-01-05,USA,Florida,"John's Pass, Pinellas County",FISHING,INJURY,
5992,PROVOKED,1913-01-05,AUSTRALIA,New South Wales,,,INJURY,
5993,UNPROVOKED,1913-01-03,SAMOA,Upolu Island,Apia Harbor,,,
5994,UNPROVOKED,1913-01-01,AUSTRALIA,Torres Strait,Thursday Island,DIVING,INJURY,
5995,UNPROVOKED,1913-01-01,REUNION,Saint-Denis,Barachoise bridge,SWIMMING,FATALITY,
5996,UNPROVOKED,1913-01-01,REUNION,5aint-Denis,Barachois,SWIMMING,FATALITY,
5997,UNPROVOKED,1913-01-01,AUSTRALIA,Victoria,Brighton,,,
5998,UNPROVOKED,1912-01-11,PHILIPPINES,,,SWIMMING,FATALITY,
